recency,history_segment,history,mens,womens,zip_code,newbie,channel,visit,conversion,spend,treatment
7,1) $0 - $100,29.99,0,1,Surburban,1,Web,0,0,0.0,1
3,4) $350 - $500,420.11,1,0,Urban,0,Web,0,0,0.0,0
11,1) $0 - $100,41.04,1,0,Rural,1,Web,0,0,0.0,1
8,1) $0 - $100,29.99,1,0,Urban,0,Phone,0,0,0.0,1
1,4) $350 - $500,417.34,1,1,Surburban,0,Phone,1,0,0.0,1
10,3) $200 - $350,300.41,0,1,Urban,0,Web,0,0,0.0,1
10,2) $100 - $200,133.24,1,0,Surburban,0,Phone,0,0,0.0,0
11,2) $100 - $200,130.44,0,1,Surburban,0,Phone,0,0,0.0,0
1,1) $0 - $100,76.97,1,0,Surburban,1,Web,0,0,0.0,1
4,1) $0 - $100,51.89,1,0,Urban,0,Phone,0,0,0.0,1
10,2) $100 - $200,123.99,1,0,Surburban,1,Phone,0,0,0.0,1
9,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,0
5,4) $350 - $500,364.27,1,0,Surburban,0,Web,0,0,0.0,1
6,5) $500 - $750,637.97,1,0,Surburban,1,Phone,0,0,0.0,0
10,1) $0 - $100,79.58,1,0,Rural,1,Web,0,0,0.0,0
6,4) $350 - $500,356.75,1,0,Urban,0,Web,0,0,0.0,0
10,1) $0 - $100,43.9,0,1,Urban,1,Phone,0,0,0.0,1
9,1) $0 - $100,90.16,0,1,Urban,1,Web,0,0,0.0,0
11,2) $100 - $200,135.79,1,0,Urban,0,Phone,1,0,0.0,1
9,3) $200 - $350,329.96,0,1,Surburban,1,Phone,0,0,0.0,0
3,1) $0 - $100,29.99,0,1,Surburban,0,Web,1,0,0.0,1
5,"6) $750 - $1,000",766.46,1,1,Rural,1,Multichannel,1,0,0.0,0
1,1) $0 - $100,29.99,0,1,Surburban,1,Phone,0,0,0.0,1
9,1) $0 - $100,97.66,1,0,Surburban,1,Web,0,0,0.0,0
2,1) $0 - $100,99.6,0,1,Surburban,1,Web,0,0,0.0,0
4,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
7,1) $0 - $100,29.99,1,0,Surburban,0,Web,0,0,0.0,1
8,2) $100 - $200,165.45,1,0,Surburban,1,Web,0,0,0.0,1
4,3) $200 - $350,201.62,1,0,Rural,1,Multichannel,0,0,0.0,0
4,2) $100 - $200,117.62,1,0,Surburban,1,Phone,0,0,0.0,1
4,1) $0 - $100,39.96,1,0,Surburban,1,Phone,0,0,0.0,1
11,2) $100 - $200,111.48,0,1,Urban,0,Phone,0,0,0.0,1
2,3) $200 - $350,227.33,1,0,Urban,1,Web,0,0,0.0,0
1,4) $350 - $500,486.88,0,1,Surburban,0,Phone,0,0,0.0,0
5,2) $100 - $200,155.21,0,1,Surburban,0,Phone,0,0,0.0,0
2,3) $200 - $350,326.64,1,0,Urban,0,Phone,1,0,0.0,1
5,3) $200 - $350,209.33,1,1,Surburban,0,Phone,0,0,0.0,1
5,1) $0 - $100,61.04,0,1,Urban,0,Web,1,0,0.0,0
3,3) $200 - $350,202.34,1,1,Urban,1,Phone,0,0,0.0,0
10,2) $100 - $200,160.79,0,1,Urban,1,Phone,0,0,0.0,1
9,1) $0 - $100,79.4,1,0,Rural,1,Web,0,0,0.0,0
8,1) $0 - $100,30.15,1,0,Surburban,1,Phone,0,0,0.0,1
9,4) $350 - $500,457.22,1,0,Urban,1,Phone,0,0,0.0,0
7,2) $100 - $200,181.3,1,0,Surburban,1,Phone,0,0,0.0,0
3,2) $100 - $200,181.8,0,1,Urban,1,Web,0,0,0.0,1
9,3) $200 - $350,342.03,1,0,Urban,0,Phone,0,0,0.0,1
9,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,0
1,2) $100 - $200,170.71,0,1,Urban,1,Phone,0,0,0.0,1
1,1) $0 - $100,47.17,1,0,Urban,0,Phone,0,0,0.0,1
10,3) $200 - $350,297.78,0,1,Surburban,0,Phone,0,0,0.0,0
1,4) $350 - $500,382.62,1,0,Surburban,1,Multichannel,1,0,0.0,1
12,3) $200 - $350,276.1,0,1,Urban,0,Multichannel,0,0,0.0,0
9,3) $200 - $350,206.22,1,1,Surburban,1,Phone,0,0,0.0,0
9,1) $0 - $100,75.93,0,1,Urban,0,Phone,0,0,0.0,0
5,1) $0 - $100,76.95,0,1,Urban,0,Phone,0,0,0.0,0
10,2) $100 - $200,130.26,1,0,Surburban,0,Phone,0,0,0.0,0
10,3) $200 - $350,216.43,0,1,Surburban,0,Phone,1,0,0.0,0
6,1) $0 - $100,63.53,1,0,Surburban,1,Phone,0,0,0.0,1
10,"6) $750 - $1,000",927.23,1,1,Urban,1,Web,0,0,0.0,1
6,1) $0 - $100,78.42,0,1,Urban,0,Phone,0,0,0.0,1
10,3) $200 - $350,226.97,0,1,Urban,0,Web,0,0,0.0,0
4,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,1
6,1) $0 - $100,40.01,0,1,Urban,0,Phone,0,0,0.0,1
8,2) $100 - $200,153.34,0,1,Surburban,1,Phone,0,0,0.0,0
1,3) $200 - $350,282.53,1,0,Surburban,0,Web,1,0,0.0,1
3,2) $100 - $200,165.31,1,0,Rural,0,Web,1,0,0.0,1
1,2) $100 - $200,167.28,1,0,Urban,1,Web,0,0,0.0,1
9,3) $200 - $350,315.49,1,1,Surburban,1,Phone,0,0,0.0,0
10,2) $100 - $200,117.94,1,0,Urban,1,Web,0,0,0.0,1
8,3) $200 - $350,302.22,0,1,Surburban,1,Phone,0,0,0.0,1
2,2) $100 - $200,146.8,0,1,Urban,1,Web,0,0,0.0,1
3,1) $0 - $100,71.17,0,1,Surburban,1,Web,0,0,0.0,1
2,1) $0 - $100,72.91,1,0,Urban,1,Web,0,0,0.0,0
8,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
8,5) $500 - $750,564.26,1,0,Urban,1,Web,0,0,0.0,1
10,1) $0 - $100,29.99,1,0,Urban,1,Web,0,0,0.0,0
4,3) $200 - $350,238.71,0,1,Rural,0,Web,1,0,0.0,0
4,4) $350 - $500,438.93,1,0,Urban,0,Web,0,0,0.0,0
1,5) $500 - $750,616.73,0,1,Urban,1,Web,0,0,0.0,1
4,2) $100 - $200,136.21,0,1,Surburban,1,Phone,0,0,0.0,0
2,3) $200 - $350,294.18,1,1,Urban,0,Multichannel,0,0,0.0,0
9,3) $200 - $350,200.04,0,1,Surburban,1,Phone,0,0,0.0,1
1,5) $500 - $750,506.01,1,0,Surburban,1,Web,0,0,0.0,1
10,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,0
4,1) $0 - $100,44.11,1,0,Surburban,1,Phone,0,0,0.0,0
4,2) $100 - $200,143.58,0,1,Surburban,0,Phone,0,0,0.0,0
2,1) $0 - $100,40.95,0,1,Urban,0,Web,0,0,0.0,0
9,3) $200 - $350,294.17,1,0,Urban,0,Multichannel,0,0,0.0,1
3,1) $0 - $100,29.99,1,0,Rural,0,Phone,0,0,0.0,1
1,5) $500 - $750,566.68,1,1,Rural,1,Multichannel,0,0,0.0,1
10,1) $0 - $100,68.17,0,1,Rural,1,Phone,0,0,0.0,0
10,3) $200 - $350,292.34,1,0,Urban,0,Web,0,0,0.0,0
10,2) $100 - $200,146.46,0,1,Urban,0,Web,0,0,0.0,1
9,2) $100 - $200,133.62,1,0,Urban,1,Web,0,0,0.0,0
2,2) $100 - $200,174.45,0,1,Surburban,0,Phone,0,0,0.0,0
12,1) $0 - $100,29.99,1,0,Urban,1,Phone,0,0,0.0,1
8,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
6,2) $100 - $200,154.85,1,0,Urban,1,Web,0,0,0.0,0
11,1) $0 - $100,29.99,0,1,Rural,0,Web,1,0,0.0,1
7,1) $0 - $100,41.11,1,0,Rural,0,Web,0,0,0.0,0
4,2) $100 - $200,149.47,0,1,Urban,0,Web,0,0,0.0,0
9,1) $0 - $100,59.33,0,1,Urban,1,Phone,0,0,0.0,0
10,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0,0.0,1
9,1) $0 - $100,62.88,1,0,Urban,1,Web,0,0,0.0,0
2,"7) $1,000 +",1341.79,1,0,Urban,1,Web,0,0,0.0,0
6,3) $200 - $350,247.02,0,1,Rural,0,Phone,0,0,0.0,0
9,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,1
1,1) $0 - $100,90.28,0,1,Urban,0,Phone,0,0,0.0,1
9,5) $500 - $750,702.49,1,1,Rural,1,Web,0,0,0.0,0
4,3) $200 - $350,268.9,1,0,Rural,0,Web,0,0,0.0,0
11,2) $100 - $200,195.84,1,0,Surburban,1,Web,0,0,0.0,1
1,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
2,3) $200 - $350,346.89,0,1,Urban,0,Web,0,0,0.0,0
10,2) $100 - $200,154.59,1,0,Surburban,1,Web,0,0,0.0,0
10,4) $350 - $500,477.54,0,1,Urban,0,Phone,0,0,0.0,1
1,4) $350 - $500,456.29,0,1,Surburban,0,Multichannel,0,0,0.0,0
12,4) $350 - $500,356.42,1,0,Urban,0,Web,0,0,0.0,1
1,5) $500 - $750,619.85,1,1,Surburban,1,Web,1,0,0.0,1
10,1) $0 - $100,66.92,1,0,Surburban,0,Phone,0,0,0.0,0
1,4) $350 - $500,352.35,1,1,Surburban,1,Multichannel,0,0,0.0,0
5,2) $100 - $200,169.66,1,0,Urban,0,Web,0,0,0.0,0
4,4) $350 - $500,383.42,0,1,Surburban,0,Phone,0,0,0.0,1
10,"6) $750 - $1,000",807.43,0,1,Surburban,1,Multichannel,0,0,0.0,1
3,3) $200 - $350,207.24,1,0,Surburban,1,Phone,0,0,0.0,0
9,1) $0 - $100,65.47,0,1,Urban,1,Phone,0,0,0.0,0
10,4) $350 - $500,498.06,1,0,Surburban,0,Phone,0,0,0.0,1
1,1) $0 - $100,62.68,0,1,Surburban,0,Web,0,0,0.0,0
7,3) $200 - $350,323.47,1,1,Surburban,0,Phone,0,0,0.0,1
9,3) $200 - $350,242.81,1,0,Surburban,0,Multichannel,0,0,0.0,1
2,2) $100 - $200,164.99,0,1,Surburban,1,Phone,0,0,0.0,0
9,1) $0 - $100,49.9,0,1,Surburban,0,Web,0,0,0.0,0
8,2) $100 - $200,126.73,0,1,Urban,0,Phone,0,0,0.0,1
6,2) $100 - $200,121.62,1,0,Urban,0,Web,1,0,0.0,0
3,1) $0 - $100,55.74,1,0,Urban,0,Phone,0,0,0.0,0
3,2) $100 - $200,176.85,1,0,Surburban,0,Phone,0,0,0.0,0
10,1) $0 - $100,59.77,1,0,Surburban,0,Web,0,0,0.0,0
9,3) $200 - $350,315.47,1,0,Urban,0,Phone,0,0,0.0,0
10,1) $0 - $100,90.97,0,1,Urban,1,Web,0,0,0.0,0
4,2) $100 - $200,199.1,1,0,Rural,1,Phone,0,0,0.0,1
1,3) $200 - $350,313.98,0,1,Surburban,0,Web,0,0,0.0,0
3,1) $0 - $100,88.5,0,1,Rural,0,Phone,0,0,0.0,1
10,4) $350 - $500,387.34,0,1,Surburban,1,Multichannel,0,0,0.0,0
6,3) $200 - $350,320.53,0,1,Urban,0,Web,0,0,0.0,1
1,1) $0 - $100,55.97,0,1,Urban,0,Phone,0,0,0.0,1
2,1) $0 - $100,39.23,0,1,Urban,0,Phone,0,0,0.0,0
7,2) $100 - $200,130.12,0,1,Urban,1,Phone,0,0,0.0,1
7,1) $0 - $100,36.52,0,1,Rural,1,Web,0,0,0.0,1
10,2) $100 - $200,131.98,0,1,Surburban,0,Phone,0,0,0.0,0
4,2) $100 - $200,111.05,1,0,Urban,1,Web,0,0,0.0,1
2,3) $200 - $350,217.42,1,1,Surburban,0,Multichannel,0,0,0.0,1
7,2) $100 - $200,110.19,1,0,Surburban,0,Web,1,0,0.0,0
9,3) $200 - $350,279.33,0,1,Rural,1,Phone,0,0,0.0,1
12,2) $100 - $200,185.8,0,1,Urban,0,Web,0,0,0.0,1
2,3) $200 - $350,230.45,0,1,Rural,0,Web,0,0,0.0,0
8,2) $100 - $200,167.69,0,1,Urban,1,Web,0,0,0.0,1
10,2) $100 - $200,132.15,0,1,Urban,0,Phone,0,0,0.0,1
2,5) $500 - $750,613.42,1,1,Urban,1,Web,0,0,0.0,0
10,1) $0 - $100,94.75,0,1,Urban,0,Phone,0,0,0.0,0
10,2) $100 - $200,188.52,1,0,Urban,0,Web,0,0,0.0,0
3,3) $200 - $350,309.48,1,1,Surburban,0,Phone,0,0,0.0,0
9,1) $0 - $100,29.99,1,0,Surburban,0,Phone,1,0,0.0,1
5,2) $100 - $200,122.77,1,0,Surburban,1,Phone,0,0,0.0,0
10,5) $500 - $750,511.7,1,0,Rural,1,Phone,0,0,0.0,1
2,"7) $1,000 +",1122.92,1,1,Urban,1,Multichannel,1,0,0.0,1
5,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
4,3) $200 - $350,336.48,1,0,Urban,0,Multichannel,0,0,0.0,0
1,3) $200 - $350,292.24,0,1,Urban,0,Phone,0,0,0.0,1
10,1) $0 - $100,60.54,0,1,Surburban,1,Phone,0,0,0.0,1
5,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,0
8,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
10,1) $0 - $100,58.73,0,1,Urban,1,Phone,0,0,0.0,1
10,3) $200 - $350,209.46,1,0,Surburban,1,Web,0,0,0.0,0
1,2) $100 - $200,155.17,0,1,Rural,1,Phone,0,0,0.0,0
3,4) $350 - $500,404.31,1,0,Surburban,1,Multichannel,0,0,0.0,1
3,1) $0 - $100,29.99,0,1,Rural,1,Web,0,0,0.0,0
9,1) $0 - $100,29.99,0,1,Urban,0,Phone,0,0,0.0,1
6,"6) $750 - $1,000",869.8,1,1,Surburban,1,Web,0,0,0.0,0
1,1) $0 - $100,29.99,0,1,Urban,1,Phone,1,0,0.0,1
4,2) $100 - $200,116.51,0,1,Urban,0,Phone,0,0,0.0,1
12,1) $0 - $100,29.99,0,1,Surburban,1,Web,0,0,0.0,1
8,2) $100 - $200,153.49,0,1,Rural,0,Phone,0,0,0.0,1
12,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,1
1,5) $500 - $750,522.42,1,0,Rural,1,Multichannel,0,0,0.0,0
10,1) $0 - $100,62.8,1,0,Urban,1,Phone,0,0,0.0,1
7,3) $200 - $350,268.01,1,0,Urban,0,Web,0,0,0.0,0
5,3) $200 - $350,298.92,0,1,Rural,0,Multichannel,0,0,0.0,1
8,1) $0 - $100,78.11,1,0,Surburban,0,Web,0,0,0.0,0
5,5) $500 - $750,640.16,1,1,Urban,1,Multichannel,0,0,0.0,1
10,1) $0 - $100,46.54,1,0,Rural,1,Phone,0,0,0.0,1
8,3) $200 - $350,215.83,1,0,Surburban,0,Phone,0,0,0.0,1
5,2) $100 - $200,104.49,0,1,Surburban,1,Web,0,0,0.0,1
1,1) $0 - $100,75.82,0,1,Urban,1,Phone,0,0,0.0,0
9,1) $0 - $100,54.43,1,0,Urban,0,Web,1,0,0.0,1
9,2) $100 - $200,109.6,1,0,Surburban,0,Web,0,0,0.0,0
9,5) $500 - $750,504.3,0,1,Surburban,1,Phone,0,0,0.0,0
1,"7) $1,000 +",1030.85,1,0,Rural,1,Phone,0,0,0.0,0
9,3) $200 - $350,301.26,1,1,Surburban,0,Phone,1,0,0.0,0
9,1) $0 - $100,69.26,1,0,Surburban,0,Phone,1,0,0.0,1
2,"6) $750 - $1,000",822.76,1,1,Urban,1,Multichannel,1,0,0.0,1
9,5) $500 - $750,584.95,0,1,Surburban,1,Multichannel,0,0,0.0,0
1,3) $200 - $350,281.98,1,1,Surburban,1,Web,1,0,0.0,1
4,4) $350 - $500,498.77,1,0,Urban,0,Multichannel,0,0,0.0,1
8,2) $100 - $200,170.09,1,0,Urban,1,Phone,1,0,0.0,1
9,5) $500 - $750,748.33,1,0,Urban,1,Web,0,0,0.0,0
4,2) $100 - $200,151.47,1,0,Urban,1,Web,0,0,0.0,1
8,5) $500 - $750,712.94,1,1,Urban,1,Web,0,0,0.0,1
5,1) $0 - $100,75.58,1,0,Surburban,1,Web,0,0,0.0,1
5,1) $0 - $100,72.28,1,0,Urban,1,Web,0,0,0.0,1
11,1) $0 - $100,63.67,0,1,Urban,0,Web,0,0,0.0,1
10,2) $100 - $200,153.1,0,1,Urban,0,Web,0,0,0.0,1
2,2) $100 - $200,119.27,1,0,Surburban,1,Phone,0,0,0.0,1
9,3) $200 - $350,249.99,1,1,Surburban,0,Phone,0,0,0.0,1
4,4) $350 - $500,480.57,0,1,Surburban,1,Phone,0,0,0.0,1
2,5) $500 - $750,677.77,1,1,Urban,1,Multichannel,1,0,0.0,1
7,1) $0 - $100,98.28,1,0,Surburban,1,Phone,0,0,0.0,1
4,3) $200 - $350,345.61,1,0,Surburban,0,Phone,0,0,0.0,0
9,1) $0 - $100,92.2,1,0,Surburban,1,Phone,0,0,0.0,1
6,2) $100 - $200,132.38,0,1,Urban,0,Web,0,0,0.0,0
2,2) $100 - $200,113.53,1,0,Surburban,1,Phone,0,0,0.0,0
1,1) $0 - $100,36.73,0,1,Surburban,1,Phone,0,0,0.0,0
3,4) $350 - $500,396.89,1,1,Urban,0,Web,0,0,0.0,1
3,3) $200 - $350,219.53,1,1,Surburban,0,Web,1,0,0.0,0
4,4) $350 - $500,409.84,0,1,Urban,0,Web,0,0,0.0,1
7,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0,0.0,1
6,1) $0 - $100,42.45,0,1,Urban,1,Web,0,0,0.0,1
2,"6) $750 - $1,000",831.99,0,1,Surburban,1,Web,0,0,0.0,1
5,4) $350 - $500,457.74,0,1,Surburban,0,Multichannel,0,0,0.0,0
10,1) $0 - $100,40.89,1,0,Surburban,1,Web,0,0,0.0,1
1,3) $200 - $350,230.36,0,1,Surburban,1,Web,1,0,0.0,1
10,2) $100 - $200,126.47,1,0,Surburban,1,Phone,0,0,0.0,0
3,2) $100 - $200,131.3,0,1,Surburban,0,Phone,0,0,0.0,0
10,1) $0 - $100,29.99,1,0,Rural,1,Web,0,0,0.0,1
6,2) $100 - $200,136.32,1,0,Urban,0,Phone,0,0,0.0,1
1,1) $0 - $100,29.99,1,0,Urban,0,Web,0,0,0.0,0
7,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,1
1,3) $200 - $350,325.92,1,0,Rural,0,Web,0,0,0.0,1
10,1) $0 - $100,29.99,0,1,Urban,0,Phone,1,0,0.0,1
3,2) $100 - $200,122.27,0,1,Surburban,1,Web,1,0,0.0,1
10,1) $0 - $100,67.93,0,1,Urban,1,Web,0,0,0.0,1
3,3) $200 - $350,267.01,1,1,Surburban,0,Web,1,0,0.0,1
1,4) $350 - $500,436.25,1,0,Rural,0,Web,0,0,0.0,0
5,"7) $1,000 +",1101.83,1,1,Urban,1,Multichannel,0,0,0.0,0
5,1) $0 - $100,80.6,0,1,Surburban,1,Web,0,0,0.0,0
7,1) $0 - $100,73.87,0,1,Urban,1,Phone,0,0,0.0,0
3,3) $200 - $350,349.16,0,1,Surburban,0,Phone,0,0,0.0,1
1,3) $200 - $350,315.53,0,1,Rural,1,Web,1,0,0.0,1
7,3) $200 - $350,217.87,1,0,Surburban,1,Web,0,0,0.0,1
9,1) $0 - $100,29.99,1,0,Surburban,1,Web,0,0,0.0,0
7,3) $200 - $350,270.82,0,1,Surburban,1,Web,0,0,0.0,1
5,2) $100 - $200,149.81,1,0,Surburban,0,Web,0,0,0.0,0
4,1) $0 - $100,54.88,0,1,Surburban,1,Phone,0,0,0.0,0
1,5) $500 - $750,537.68,0,1,Rural,1,Multichannel,0,0,0.0,1
1,2) $100 - $200,148.36,0,1,Rural,0,Web,0,0,0.0,0
6,1) $0 - $100,29.99,1,0,Surburban,1,Phone,0,0,0.0,0
2,3) $200 - $350,280.8,0,1,Urban,0,Phone,0,0,0.0,0
3,"6) $750 - $1,000",857.34,1,1,Surburban,1,Multichannel,0,0,0.0,0
10,1) $0 - $100,29.99,1,0,Surburban,0,Phone,0,0,0.0,1
9,2) $100 - $200,140.18,0,1,Surburban,1,Phone,0,0,0.0,0
10,2) $100 - $200,133.02,1,0,Urban,1,Phone,0,0,0.0,1
3,2) $100 - $200,124.88,1,0,Surburban,0,Web,0,0,0.0,1
5,1) $0 - $100,95.97,1,0,Urban,0,Phone,0,0,0.0,1
9,2) $100 - $200,107.62,0,1,Rural,1,Phone,0,0,0.0,0
4,1) $0 - $100,86.37,0,1,Urban,0,Phone,0,0,0.0,1
1,4) $350 - $500,478.55,1,1,Surburban,0,Phone,0,0,0.0,0
4,2) $100 - $200,159.52,1,0,Urban,1,Web,1,0,0.0,0
4,2) $100 - $200,167.94,1,0,Rural,0,Web,0,0,0.0,1
1,2) $100 - $200,156.88,0,1,Surburban,1,Phone,0,0,0.0,0
7,2) $100 - $200,101.92,1,0,Rural,0,Phone,0,0,0.0,1
1,5) $500 - $750,666.57,1,1,Urban,1,Multichannel,1,0,0.0,1
1,1) $0 - $100,47.42,1,0,Rural,1,Web,0,0,0.0,0
9,3) $200 - $350,267.63,1,0,Surburban,0,Phone,1,0,0.0,1
2,2) $100 - $200,129.74,0,1,Surburban,1,Web,0,0,0.0,1
8,5) $500 - $750,570.79,0,1,Urban,1,Multichannel,1,0,0.0,0
10,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,0
1,5) $500 - $750,541.53,0,1,Surburban,1,Web,0,0,0.0,0
2,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,1
2,5) $500 - $750,585.13,0,1,Urban,1,Web,0,0,0.0,0
11,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,1
2,1) $0 - $100,54.49,1,0,Surburban,1,Phone,1,0,0.0,0
12,1) $0 - $100,40.14,1,0,Urban,1,Phone,0,0,0.0,0
1,"6) $750 - $1,000",933.86,1,0,Rural,1,Multichannel,1,0,0.0,0
5,2) $100 - $200,184.81,1,0,Surburban,0,Web,0,0,0.0,0
10,1) $0 - $100,51.92,1,0,Urban,1,Web,0,0,0.0,0
12,1) $0 - $100,74.69,1,0,Surburban,1,Web,0,0,0.0,0
9,1) $0 - $100,98.93,1,0,Surburban,0,Phone,1,0,0.0,0
6,3) $200 - $350,251.0,1,0,Surburban,1,Phone,0,0,0.0,1
1,"7) $1,000 +",1055.41,1,1,Rural,1,Phone,0,0,0.0,0
11,1) $0 - $100,29.99,0,1,Urban,0,Web,0,0,0.0,1
6,1) $0 - $100,29.99,0,1,Urban,1,Web,0,0,0.0,1
6,3) $200 - $350,284.83,0,1,Urban,0,Web,0,0,0.0,0
9,3) $200 - $350,205.8,0,1,Urban,0,Phone,0,0,0.0,1
9,5) $500 - $750,550.07,1,1,Surburban,1,Multichannel,1,0,0.0,0
8,1) $0 - $100,94.53,0,1,Rural,0,Web,0,0,0.0,0
1,4) $350 - $500,453.98,0,1,Surburban,0,Phone,0,0,0.0,0
6,1) $0 - $100,29.99,0,1,Surburban,0,Web,0,0,0.0,0
9,2) $100 - $200,102.92,1,0,Urban,1,Phone,0,0,0.0,1
4,2) $100 - $200,104.65,0,1,Urban,1,Phone,0,0,0.0,1
9,2) $100 - $200,163.91,0,1,Surburban,1,Web,0,0,0.0,0
1,"7) $1,000 +",1023.52,1,1,Surburban,1,Phone,0,0,0.0,1
1,"6) $750 - $1,000",811.12,1,0,Rural,1,Multichannel,1,0,0.0,0
10,1) $0 - $100,60.1,0,1,Urban,1,Phone,0,0,0.0,1
2,1) $0 - $100,88.25,1,0,Urban,1,Web,1,0,0.0,0
6,3) $200 - $350,204.46,1,1,Surburban,0,Multichannel,0,0,0.0,1
11,1) $0 - $100,50.86,1,0,Urban,0,Phone,0,0,0.0,1
3,5) $500 - $750,561.87,0,1,Urban,1,Web,0,0,0.0,1
8,2) $100 - $200,183.75,1,0,Rural,1,Web,0,0,0.0,1
6,3) $200 - $350,242.63,1,0,Urban,0,Phone,0,0,0.0,1
2,3) $200 - $350,255.5,0,1,Surburban,1,Multichannel,0,0,0.0,0
2,2) $100 - $200,110.72,1,0,Surburban,0,Web,0,0,0.0,1
7,1) $0 - $100,40.94,0,1,Urban,0,Web,0,0,0.0,0
12,1) $0 - $100,29.99,0,1,Surburban,1,Phone,0,0,0.0,0
1,1) $0 - $100,44.17,0,1,Surburban,0,Phone,0,0,0.0,0
10,2) $100 - $200,196.02,1,0,Urban,0,Phone,0,0,0.0,0
4,1) $0 - $100,29.99,0,1,Urban,1,Phone,0,0,0.0,1
2,"6) $750 - $1,000",862.86,1,1,Surburban,1,Multichannel,0,0,0.0,0
1,2) $100 - $200,101.44,0,1,Urban,0,Phone,0,0,0.0,0
6,1) $0 - $100,29.99,1,0,Surburban,1,Web,1,0,0.0,0
10,1) $0 - $100,62.24,0,1,Surburban,0,Web,0,0,0.0,0
1,2) $100 - $200,164.73,0,1,Surburban,0,Web,0,0,0.0,0
